line,t,v
dq,0,1
dq,1,0
dq,481,1
dq,551,0
dq,701,1
dq,941,0
dq,1001,1
dq,1011,0
dq,1071,1
dq,1081,0
dq,1087,1
dq,1151,0
dq,1157,1
dq,1221,0
dq,1281,1
dq,1291,0
dq,1351,1
dq,1361,0
dq,1367,1
dq,1431,0
dq,1437,1
dq,1501,0
dq,1561,1
dq,1571,0
dq,1577,1
dq,1641,0
dq,1701,1
dq,1711,0
dq,1771,1
dq,1781,0
dq,1787,1
dq,1851,0
dq,1857,1
dq,1921,0
dq,1927,1
dq,1991,0
dq,2051,1
dq,2061,0
dq,2067,1
dq,2131,0
dq,2191,1
dq,2201,0
dq,2207,1
dq,2271,0
dq,2331,1
dq,2341,0
dq,2401,1
dq,2411,0
dq,2417,1
dq,2481,0
dq,2487,1
dq,2551,0
dq,2611,1
dq,2621,0
dq,2627,1
dq,2691,0
dq,2751,1
dq,2761,0
dq,2821,1
dq,2831,0
dq,2891,1
dq,2901,0
dq,2961,1
dq,2971,0
dq,2977,1
dq,3041,0
dq,3047,1
dq,3111,0
dq,3171,1
dq,3181,0
dq,3241,1
dq,3251,0
dq,3311,1
dq,3321,0
dq,3327,1
dq,3391,0
dq,3451,1
dq,3461,0
dq,3521,1
dq,3531,0
dq,3537,1
dq,3601,0
dq,3607,1
dq,3671,0
dq,3731,1
dq,3741,0
dq,3801,1
dq,3811,0
dq,3871,1
dq,3881,0
dq,3941,1
dq,3951,0
dq,4011,1
dq,4021,0
dq,4081,1
dq,4091,0
dq,4097,1
dq,4161,0
dq,4221,1
dq,4231,0
dq,4291,1
dq,4301,0
dq,4307,1
dq,4371,0
dq,4431,1
dq,4441,0
dq,4501,1
dq,4511,0
dq,4571,1
dq,4581,0
dq,4641,1
dq,4651,0
dq,4657,1
dq,4721,0
dq,4727,1
dq,4791,0
dq,4851,1
dq,4861,0
dq,4921,1
dq,4931,0
dq,4937,1
dq,5001,0
dq,5007,1
dq,5071,0
dq,5077,1
dq,5141,0
dq,5201,1
dq,5211,0
dq,5217,1
dq,5281,0
dq,5287,1
dq,5351,0
dq,5411,1
dq,5421,0
dq,5481,1
dq,5491,0
dq,5551,1
dq,5561,0
dq,5567,1
dq,5631,0
dq,5691,1
dq,5701,0
dq,5761,1
dq,5771,0
dq,5777,1
dq,5841,0
dq,5847,1
dq,5911,0
dq,5971,1
dq,5981,0
dq,6041,1
dq,6051,0
dq,6111,1
dq,6121,0
dq,6181,1
dq,6191,0
dq,6251,1
dq,6261,0
dq,6321,1
dq,6331,0
dq,6337,1
dq,6401,0
dq,6461,1
dq,6471,0
dq,6531,1
dq,6541,0
dq,6601,1
dq,6611,0
dq,6671,1
dq,6681,0
dq,6687,1
dq,6751,0
dq,6811,1
dq,6821,0
dq,6881,1
dq,6891,0
dq,6897,1
dq,6961,0
dq,6967,1
dq,7031,0
dq,7091,1
dq,7101,0
dq,7107,1
dq,7171,0
dq,7231,1
dq,7241,0
dq,7247,1
dq,7311,0
dq,7371,1
dq,7381,0
dq,7441,1
dq,7451,0
dq,7457,1
dq,7521,0
dq,7527,1
dq,7591,0
dq,7651,1
dq,7661,0
dq,7667,1
dq,7731,0
dq,7737,1
dq,7801,0
dq,7861,1
dq,7871,0
dq,7931,1
dq,7941,0
dq,8001,1
dq,8011,0
dq,8017,1
dq,8081,0
dq,8087,1
dq,8151,0
dq,8211,1
dq,8221,0
dq,8281,1
dq,8291,0
dq,8297,1
dq,8361,0
dq,8421,1
dq,8431,0
dq,8491,1
dq,8501,0
dq,8507,1
dq,8571,0
dq,8577,1
dq,8641,0
dq,8647,1
dq,8711,0
dq,8771,1
dq,8781,0
dq,8787,1
dq,8851,0
dq,8911,1
dq,8921,0
dq,8981,1
dq,8991,0
dq,8997,1
dq,9061,0
dq,9067,1
dq,9131,0
dq,9137,1
dq,9201,0
dq,9207,1
dq,9271,0
dq,9331,1
dq,9341,0
dq,9401,1
dq,9411,0
dq,9471,1
